name,id
total,total
USA,united_states
India,india
Asia,asia
Uber,uber
Lyft ,lyft
Ola cabs,ola
TaxiForSure,taxi_for_sure
Easy Taxi,easy_taxi
GrabTaxi,grab_taxi
Jan,january
Feb,february
March,march
April,april
May,may
